dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
ssc,hpc-renewal,High Performance Computer Renewal Project,"High Performance Computer (HPC) Renewal Project (l;nvironment Canada)- PRJ-000703
 The SSC Supercomputer Renewal / Project for Environment Canada and Climate Change (ECCC) will provide a state of the art High Performance Computing environment to support Environment Canada's Meteorological Service of Canada (MSC). The MSC has developed a comprehensive Ten Year Investment Plan that was pursued through Budget 2013.",30593109,2017-10-31,8555-421-266,"June 9, 2016",365
ssc,hccs,Hosted Contact Centre Services Transformation,"Hosted Contact Centre Service Transformation - PRJ-001827
 The project will establish a new Hosted Contact Centre services contract, infrastructure and platform. (Does not include IBM contract costs)",17600000,2023-03-31,8555-421-266,"June 9, 2016",363
ssc,hccs,Hosted Contact Centre Services Transformation,"Hosted Contact Centre Services (HCCS) Transformation - PRJ-001827
The HCCS Transformation Project is a sub project of the Telecommunications Transformation Program. The aim of the project is to establish a new HCCS contract, infrastructure and platform.",44059000,2020-03-31,8555-421-2460,"May 1, 2019",15
ssc,ecc,Integrated Enterprise Command Centre,"Integrated Enterprise Command Centre (ECC) - PRJ-003771
The Integrated ECC Service project will consolidate, centralize, and modernize the monitoring command and control of SSC shared IT infrastructure. The goal of the project is to consolidate the many existing monitoring sites (11) into the fewest possible, taking into consideration security, back-up requirements, staffing shortages, etc.",4834000,2021-03-31,8555-421-2460,"May 1, 2019",50
ssc,nrc-migration,National Research Council Migration,"National Research Council Migration - PRJ-003001
 The establishment of a new secure telecommunications and information technology infrastructure for the National Research Council of Canada at SSC.",34239000,2017-03-31,8555-421-266,"June 9, 2016",369
ssc,noa,Network Device Authentication,"Network Device Authentication (NOA) - PRJ-003436
The NOA project was identified to provision non-person entity certificates (NPEC) and authentication, authorization and auditing (AM) services to the GC. Once implemented, the new service will centralize lifecycle management of NPECs and provide reports on A M transactions for the purpose of security auditing as well as compliance and service improvement.",13090000,2022-03-31,8555-421-2460,"May 1, 2019",19
ssc,nt,Network Transformation,"Network Transformation - PRJ-003471
This project will develop a GC enterprise network strategy which will: define and establish the GC enterprise network architecture and services required to deliver Canada's digital platform; and identify and establish the SSC capabilities required to implement and support the enterprise network.",20397500,2021-03-31,8555-421-2460,"May 1, 2019",48
ssc,pi-legacy,Program Integrity,"Program Integrity - PRJ-003342
 The legacy IT infrastructure is used to run many of the government systems and program that are deemed critical applications which deliver essential services to Canadian citizens. The commitment made by the federal government in the April 2016 budget addresses this critical investment through SSC replacement strategy to replace the legacy IT infrastructure over a two year program initiative.
 The program is established to manage the TBS funding expenditure over a two year period to implement a capital replacement plan that will refresh SSC's Mission Critical IT Infrastructure.
 The program will be delivered under 4 projects:
 PRJ-003336 - Data Centre Services Program Integrity Projects PRJ-003340 - Networks and End User Branch Program Integrity
 PRJ-003351- Security Management Cyber and IT Security - Program Integrity
 PRJ-003350 - Service Management - Program Integrity",383794297,2018-03-30,8555-421-266,"June 9, 2016",374
ssc,ea,QualiWare Enterprise Architecture Tool,"Enterprise Architecture (EA) Tool - QualiWare- PRJ-004225
The main objective of this project is to implement an EA tool (Qualiware) across SSC.",3302000,2020-07-01,8555-421-2460,"May 1, 2019",53
ssc,sap-hana,SAP HANA Implementation,"SAP HANA Implementation - PRJ-003782
This project will establish a standardized platform to support the GC SAP HANA implementations for those departments who plan to migrate to this latest version of the SAP software in the next 2-4 years.",1425000,2020-03-01,8555-421-2460,"May 1, 2019",33
ssc,sced,Secure Cloud Enablement and Defence Trusted Interconnection Points,"Secure Cloud Enablement and Defence - PRJ-004075
Implement GC Trusted Interconnection Points on the periphery of the GC network for the secured exchange of data with external organizations. A specialized perimeter will establish a network security zone with one or more private connections to reduce exposure to cyber threats and improve performance and reliability between the GC and external partners, and Cloud Service Providers (CSP) for Secure Cloud Enablement.",48162000,2023-10-31,8555-421-2460,"May 1, 2019",25
ssc,sram,Secure Remote Access Migration,"Secure Remote Access Migration (SRAM) - PRJ-003434
The SRAM project was identified to renew and rationalize the existing secure remote access (SRA) infrastructure, as well as consolidate processing of SRA connections at the EDCs. The SRA service will provide GC users with the ability to securely connect to their departmental data and/or information system from a remote location (i.e. from outside the GC-managed perimeter) using their government-furnished endpoint (i.e. laptop, tablet and/or mobile device).",18680000,2023-03-31,8555-421-2460,"May 1, 2019",20
ssc,siem,Security Information and Event Management,"Security Information and Event Management (SIEM) - PRJ-003435
Once implemented, the SIEM project will enable the GC to predict, detect and respond to cyberthreats and risks to IT systems and infrastructure.",72721000,2023-03-31,8555-421-2460,"May 1, 2019",21
ssc,sb-2,Service Bundle Phase 2,"Service Bundle 2 - PRJ-002951
 The project packages a number of partner-facing services, including new and existing technical, foundational and service-management elements, as well as enhanced processes to accelerate and further enable workioad migrations.",1800000,2016-08-15,8555-421-266,"June 9, 2016",357
ssc,signet-c5,SIGNET C5 Upgrade Project,"SIGNET - C5 Upgrade Project (C6) - PRJ-001570 (Project being partially funded by Global Affairs Canada)
 The project will replace all legacy servers not supported by vendors with virtual vendor-supported servers. The upgrade serves as a ""Keeping the Lights On"" project to meet Global Affairs Canada business requirements for at least the next five years until_ a Government of Canada solution for Secret infrastructure environment is built.",13532539,2018-03-30,8555-421-266,"June 9, 2016",362
ssc,spfc,Smart Phone for Classified,"Smart Phone for Classified (SPfC) - PRJ-003489
The objective of the SPfC project is to implement and operate secure mobile communications (voice and instant messaging) services and supporting infrastructure for Classified (Secret level) information.",15400815,2021-03-31,8555-421-2460,"May 1, 2019",22
ssc,sam,Software Asset Management,"Software Asset Management - PRJ-003770
This project will implement an enterprise Software Asset Management discipline, including enabling tool, to improve the management of licenses for Data Centre, Network, Email and Security software.",5380000,2021-03-31,8555-421-2460,"May 1, 2019",49
ssc,,SSC - Administrative Access Controls Service (AACS),This project standardizes administrative account management and ensures only those with administrative privileges are provided with the appropriate level of privileges. This will ultimately provide customers with the capability to manage administrative/privileged access within their own environment. Security will be enhanced through the provision of auditing and reporting capabilities for administrative accounts.,34694937,2024-01-03,8530-441-13-505,"April 25, 2022",465
ssc,,"SSC - Endpoint Visibility, Awareness and Security (EVAS)","The EVAS project will provide an integrated capability to have real-time visibility and awareness of all GC endpoint devices (i.e. servers, desktops, laptops and tablets), while providing the same with an evolved endpoint security suite. This will provide end-toend visibility, awareness and security to the entire GC enterprise.",,2024-09-30,8530-441-13-505,"April 25, 2022",455
ssc,,SSC - Enterprise ITSM Tool Project,"The ITSM Tool project will deliver an enterprise ITSM technology solution which will enable the delivery, support and management of SSC's IT services. The ITSM tool will enable SSC's Service Management Transformation and the associated comprehensive service strategy.",40870206,2023-03-31,8530-441-13-505,"April 25, 2022",461
ssc,,SSC - Enterprise Monitoring Solution,"Shared Services Canada (SSC) proposes to procure and implement an Enterprise Monitoring Solution (EMS) which will enable SSC to proactively monitor all SSC infrastructure, rather than depending on client departments to report information technology (IT) infrastructure failures.",,2025-01-01,8530-441-13-505,"April 25, 2022",467
ssc,,SSC - GC Secret Infrastructure (GCSI) Expansion,The GCSI project is made up of three components:GCSI Secret Infrastructure Expansion will consolidate and rationalize the majority of the existing secret infrastructures currently supported by SSC so that they may be operated more securely and cost effectively.GCSI High Availability will provide the addition of the high availability and disaster recovery capabilities that are considered an operational necessity to support the availability requirements for GCSI.,94122055,2024-11-11,8530-441-13-505,"April 25, 2022",454
